round_client,layer,A_norm,B_norm,Var_Balpha,Var_betaA,Var_ba,Total_Var,mean_orig_update,mean_noisy_update,mean_update_diff
round_136_client_18,base_model.model.model.layers.1.self_attn.v_proj_stats,2.5027499198913574,2.487891435623169,9.5212820662614,9.635349967509912,18.93019768098931,38.08682971476062,-6.710826738753894e-08,-1.844375105974905e-08,4.8664529614939056e-08
round_136_client_18,base_model.model.model.layers.25.self_attn.q_proj_stats,2.4904911518096924,2.489096164703369,9.530505412953948,9.541190944398723,18.93019768098931,38.00189403834198,-1.4771482881315023e-07,-1.7371879014405066e-07,-2.6003966375753862e-08
round_136_client_18,base_model.model.model.layers.4.self_attn.q_proj_stats,2.4845080375671387,2.4818625450134277,9.475192260774005,9.495402816124436,18.93019768098931,37.90079275788775,-1.1658649867740678e-07,-1.071132416896603e-07,9.473251836311646e-09
round_136_client_18,base_model.model.model.layers.31.self_attn.v_proj_stats,2.4775102138519287,2.4934802055358887,9.564107104098408,9.441988959508125,18.93019768098931,37.936293744595844,2.7224196230690723e-08,-2.1887989838376142e-08,-4.91122142065592e-08
round_136_client_18,base_model.model.model.layers.0.self_attn.v_proj_stats,2.466628074645996,2.4848639965057373,9.498123850295908,9.359225722596449,18.93019768098931,37.78754725388167,-7.186146433468821e-08,-5.543809244556996e-08,1.6423381836716542e-08
round_136_client_18,base_model.model.model.layers.0.self_attn.q_proj_stats,2.4963574409484863,2.4780025482177734,9.445741983419362,9.58619195101598,18.93019768098931,37.96213161542465,1.7282708597576857e-08,-2.9371036660563733e-08,-4.6653721987865994e-08
round_136_client_18,base_model.model.model.layers.8.self_attn.v_proj_stats,2.494004964828491,2.4686119556427,9.374286815184297,9.568133109344027,18.93019768098931,37.87261760551763,5.215941456526707e-09,5.258558381626699e-08,4.736961884077573e-08
round_136_client_18,base_model.model.model.layers.19.self_attn.q_proj_stats,2.474494457244873,2.4657955169677734,9.352908774946416,9.419016371989946,18.93019768098931,37.70212282792567,-7.09200236315155e-08,5.692553628477981e-10,7.148926503219855e-08
round_136_client_18,base_model.model.model.layers.30.self_attn.q_proj_stats,2.473005771636963,2.49281644821167,9.559015905713636,9.407686594156301,18.93019768098931,37.89690018085925,2.710275452955102e-07,2.811863073581833e-07,1.0158784391478548e-08
round_136_client_18,base_model.model.model.layers.22.self_attn.v_proj_stats,2.4641098976135254,2.478825330734253,9.452015650584421,9.340125837101471,18.93019768098931,37.722339168675205,-1.3395009546002257e-07,-1.720241717073634e-07,-3.8074075234817426e-08
round_136_client_18,base_model.model.model.layers.7.self_attn.v_proj_stats,2.485013961791992,2.476781129837036,9.436432582573534,9.49927033706227,18.93019768098931,37.86590060062511,7.498080378809391e-08,5.8357550827281556e-08,-1.6623226279932625e-08
round_136_client_18,base_model.model.model.layers.14.self_attn.q_proj_stats,2.504150390625,2.481205701828003,9.470177565738993,9.646136343707832,18.93019768098931,38.04651159043613,1.0153132734558312e-07,9.365775888170446e-09,-9.216551976720666e-08
round_136_client_18,base_model.model.model.layers.2.self_attn.q_proj_stats,2.466377019882202,2.4966797828674316,9.588667743110648,9.357320645255069,18.93019768098931,37.87618606935503,1.1031850988274527e-07,1.28640326124696e-07,1.832180506866621e-08
round_136_client_18,base_model.model.model.layers.16.self_attn.v_proj_stats,2.4880902767181396,2.47532320022583,9.425326550493754,9.522804076250244,18.93019768098931,37.878328307733305,-2.9171371807024116e-07,-3.367618522887028e-07,-4.504812608274733e-08
round_136_client_18,base_model.model.model.layers.15.self_attn.v_proj_stats,2.4876465797424316,2.482546091079712,9.48041222938958,9.519408007652178,18.93019768098931,37.93001791803107,-1.2620947842378882e-08,-4.1104394092883464e-08,-2.848343104489004e-08
round_136_client_18,base_model.model.model.layers.3.self_attn.v_proj_stats,2.4915103912353516,2.476924419403076,9.437524468672208,9.54900205259027,18.93019768098931,37.916724202251785,1.2682539818342775e-07,1.480316724489228e-07,2.1206277658336602e-08
round_136_client_18,base_model.model.model.layers.20.self_attn.q_proj_stats,2.481893301010132,2.488563299179077,9.52642526994013,9.475427101166924,18.93019768098931,37.932050052096365,-2.07062441859307e-07,-2.576564110512436e-07,-5.059398681339644e-08
